ID,리뷰어,리뷰날짜,리뷰텍스트
6,ls** ,23.11.07,"사이즈도 잘 맞고 탄탄하고 너무 옙버요ෆ 
라이더 사고 싶었는데 98도씨꺼 짱이에오 진짜!
지퍼 많이 달린 라이더 보다 베이직한 디자인 찾고 있었는데 완전 맘에 들어용"
7,lj** ,23.09.29,"키 173 기준 엉덩이 다 덮습니다! 적당히 오버한 블레이저를 찾았는데 넘 만족햐요 ,, 작지도 크지도 않고 딱 적당한 사이즈예요! 제 스타일에 안 어울릴까봐 한참 고민하다가 구매한건데 생각보다 휘뚤일거 같아요 ㅎㅎ 
근데 넘 주름이 심한 상태로 배송…더보기"
7,mc** ,22.10.18,"배송 온 당일 겉만 보고 괜찮아서 택 떼고 걸어뒀다가 다림질 하면서 발견했는데ㅎ.. 팔 안감이 다 뜯어져서 좀 심각해보이길래 문의남겼더니 뭐 아무것도 안된다구 하네용 핳ㅎ
모두 안감 잘 확인하고 택 제거하세요 ㅎ…
그리고 은근 얇아요~~!"
7,le** ,22.09.07,"보이는 후기만 보고 사이즈표도 얼추 오버핏이길래 구매했습니다!
막 아빠핏이라는 평이 많아서 난 오버핏 나오면 대성공인거다~하고 구매했어요 ㅋヲ
받고 착용해보니 아하!...😳
너무 슬림핏 느낌이길래 뭐지?̊̈ 상품명 다시 보고 후기 다시 보는데 이제야…더보기"
7,pn** ,21.10.19,"가격대비 퀄 좋아용!!!
근데 제가 키가작아서 그런지 좀 크긴커요 코디 잘해서 입으면 스타일리쉬해보이는데 그렇지못하면 아빠옷걸친느낌 ㅠㅠ 그래도 전 너무만족하고 잘 입고다니고있어요 이쁜옷감사해요!!!"
7,oe** ,21.08.28,"가격 대비 굿
핏은 오버핏 수준이 아니고 아빠핏ㅇㅇㅇ
추워해서 아부지가 겉 옷 벗어 준 거 같아 보이는 면이 있음
그래서 입을랑말랑 하게 걸쳐 입어야 함
아직은 더워서 들고 다녔는데 만족

가격대비 질이 좋음
처음 입을 때 정리 안된 실 많으니 열심히…더보기"
8,s2** ,22.10.02,"입었을 때 핏이 예뻐요 ♡ 

작은 실밥은 정돈하면 될거같구 
옷 안쪽의 약간의 구겨짐도 
입을 때 문제없어서 바로 입고나갔어요 ~ 

팔을 들면 불편해서 그 점이 약간 아쉽지만 
그래도 그것 빼고는 생각한 대로의 
색감에 핏이 예뻐서 소장했어요 ♡ …더보기"
8,qs** ,22.04.21,"크롭을 살까 스탠다드를 살까 고민했는데 크롭을 샀으면 좀 짧았다고 생각할정도로 스탠다드가 딱 핏을 잡아줘요
팔길이도 적당하고 원단도 각이 잡혀있어서 지금 딱 입기 좋아요.
다만 이런 디테일들은 좀 아쉽네요."
8,dh** ,22.04.17,요즘 다 길게 나오는 자켓이 대부분인데 키가 작아서 정사이즈 자켓이 있으면 좋겠다는 생각에 찾았어요! 길이랑 품이 적당해서 아주 좋아요! 몸통?부분은 좀 큰 감이 있지만 그래도 이정도는 괜찮은 것 같아요. 근데 배송 받았을 때부터 몸통부분에 점박이?처…더보기
8,ka** ,22.04.17,"옷은 딱 생각한 그대로입니다~ 키가 좀 작고 아담한 체구이신 분들은 호불호 없이 다 잘 맞을것 같아요~!
엄청 오버핏은 아닙니다! 어깨뽕 과하지않아요
살짝 라인 들어가 있습니다~ 롱스커트, 바지에 다 잘 어울려서 좋아요☺️ 다만 한가지 아쉬운점은 뒤에…더보기"
8,hy** ,22.04.16,"기본적인 자켓 사고싶었는데 만족합니다!
두께가 생각했던 것 보다 두꺼워서 좀만 더 지나면 못입을 것같아요! 진짜 봄 가을?에 엄청 춥지도 덥지도 않은 적당한 날씨에 좋을 듯해요
기장은 엉덩이 안 덮고 엄청 짧지도 않아요 적당!"
9,le** ,23.03.18,"색감이 회갈색 느낌에 아이브로우 색상에서
찾아볼 수 있는 색상이라 뭐라 설명드리기
어렵지만 사진에 나온대로 여기저기 돌아다닐 때마다
햇빛, 조명에 따라 색감도 많이 바뀌더라구요 😓

그래도 무난하게 입고 다니기 좋았고 무엇보다
시크하면서도 따순느낌을…더보기"
9,jn** ,22.11.11,"상당히 오버핏으로 입고 싶었기 때문에 사이즈 고민을 많이 했는데 저와 비슷한 체형에 저처럼 확실한 세미 오버핏 원하신다면 M사이즈로 가는 게 맞는 것 같아요 !
((제품명이 오버핏이기에 정사이즈예요 눌렀습니다

1,2번 사진처럼 후드티 위에 입고 싶어…더보기"
9,ru** ,23.10.12,"(수정 : 여러분, 옷 마감 확인 제대로 하세요ㅠ 전 손목 부분 박음질 엉망입니다ㅠㅠㅠ 길이도 안 밎아요ㅠ)
배송 빨랐습니다. 옷 퀄리티 나쁘지 않습니다.
얇지 않고 조금 두깨감이 있어서 가볍지는 않아요.
핏도 괜찮고, 소재가 몸에 닿는 느낌도 괜찮아…더보기"
9,nl** ,23.10.07,저번에 자켓 두가지 샀었는데 너무 잘입고다녀서 직진배송으로 시켰어요. 이전 꺼랑 디자인이 바뀐건지 직진배송만 다른건지 모르겠으나 손목쪽 디자인이 약간 다르고 만졌을때 재질이 약간 다른 느낌이 들어요. 두께는 유의미한차이는 아니고 0.01~2정도 두꺼운…더보기
9,rh** ,23.10.06,길이도 품도 넉넉해요!! 저는 어깨가 있는 55사이즈인데 작은 걸 할까하다가 리뷰보고 안에 조금 두꺼운 옷 입으려면 큰거 해도 되겠다 싶어서 넉넉한 사이즈로 선택했어요! s사이즈 했으면 어깨 딱 맞는 길이는 좀 긴 자켓이 되었을 것 같아요 그것도 예쁠…더보기
10,bn** ,22.04.12,"<장점에도 단점에도 안들어가는...>
1. 색감차이가.. 많이나요 사진보고 그레이 위주의 먼지먹은 카키색일 줄 알았는데 엄청!!! 초록빛 돌아요 카키 90 그레이 10의 물빠진 야상색? 올영같은 특정 조명에서 보면 그나마 상세컷이랑 비슷한 색감이 나와…더보기"
10,kk** ,22.03.28,크롭 기장이구 얇아요 !! 날씨 15~20도쯤 입어야 좋을거같아요 색감은 생각했던거보다 조금 어두워서 반품할까했는대 그냥 입어요ㅠ 청바지보다는 검정바지랑 더 잘어울려요 약간 세로줄 결이 보이는 재질이예요
10,en** ,23.04.27,살까말까하다 샀는데 잘샀어요 실물이 훨씬 예뻐요 얇고 가벼워서 쓱 걸치기 좋겠더라구요 갑자기 쌀쌀해져서 못입었는데 여름까지 가능할 것 같아요 걱정 많이했는데 입어보면 훨씬 낫습니다 너무 이뻐요
10,xi** ,23.09.17,무난하고 예뻐요! 어떤 옷에든 잘 어울릴 것 같아요. 놀러갈 때도 출근할 때도 잘 활용할 수 있을듯하네요. 생각보다 얇은 느낌이긴한데 이보다 두꺼우면 이 핏 안나올 것 같아요.. 만족합니다!
10,hj** ,23.09.17,빳빳한 소재일 줄 알았는데 부드러운 소재여서 오히려 좋아!키도 몸집도 작아서 핏 되는 옷 특히 외투 찾기가 쉽지 않은데 남의 옷 얹은 것 같이 않고 내 옷 같아서 첫 번째 만족스러웠습니다. 색감도 사진 그대로 시크해서 두 번째 만족했어요. 짧은 가을 …더보기
11,dn** ,23.08.24,"블루 색상이 마음에 들어서 내추럴도 구매했습니다!
블루는 m이었고 내추럴은 s샀는데,
m은 널널했고 s가 확실히 타이트한 느낌은 있더라구요~
그런데 단추 부분이 꼼꼼하지는 않은 것 같아서 살짝 아쉬워요!
그래서 1개정도 여분의 단추가 옷 안에 달려있으…더보기"
11,sh** ,21.06.30,"프링 린넨 반팔 숏자켓 vs  베이트 린넨 하운드 체크 반팔 자켓

두 개 엄청 고민하다가 너무 예뻐서 두 개다 사벌였습니다..ㅎ
저 같은 사람있을까봐 비교하면서 쓰것슴돠
편의상 프링 리넨 반팔 숏자켓은 ➡️프링
베이트 린넨 하운드 체크 반팔자켓은 ➡…더보기"
11,es** ,21.05.27,"색, 퀄리티 너무좋아요
어깡 얘기많이하시는데 저는 이미 모태 어깨깡패라서
아주 딱맞네요 예예 사이즈 굿입니다
살좀빼소 박시하게 입으면 좋을거가타영 ~~~><
너모예뽀요 두껍긴한데 그래서 더 고급져보입니다 >< 진짜 잘샀네요 이거 ~~~~"
